publisher_original	publisher_harmonized
ИГД	игд
Ида-Вирумаа сотрудничество и обучение	идавирумаа сотрудничество и обучение
Идея	идея
Идзиковский [etc.]	идзиковский etc
Иждивением книгопродавца И. Глазунова	иждивением книгопродавца и.глазунова
Иждивением книгопродавца Ивана Глазунова	иждивением книгопродавца ивана глазунова
Из первых рук	из первых рук
"""Из первых рук... """	из первых рук
"""Из первых рук..."""	из первых рук
Из первых рук...	из первых рук
Извеcтия	извеcтия
Известия	известия
Известия Народных Депутатов СССР	известия народных депутатов ссср
Изд. автора	изд.автора
Изд. К. А. Раага	изд.к.а.раага
"Изд. МП ""Эстпресс"""	изд.мп эстпресс
Изд. Таллиннского клуба миниатюрной книги	изд.таллиннского клуба миниатюрной книги
Изданiе Книгопродавца Н. Г. Мартыновa	изданiе книгопродавца н.г.мартыновa
издание А. Ф. Девриенa	издание а.ф.девриенa
Издание автора	издание автора
"Издание журнала ""Гимназия"""	издание журнала гимназия
"издание журнала ""Гимназия"""	издание журнала гимназия
"Издание журнала ""Мосты"""	издание журнала мосты
Издание Императорской Археографической комиссии	издание императорской археографической комиссии
Издание кн. магазина К. Буш	издание кн.магазина к.буш
Издание книжного маг. А. Буша	издание книжного маг.а.буша
"Издание книжного магазина ""Культура"""	издание книжного магазина культура
Издание книжного магазина Авг. Буш	издание книжного магазина авг.буш
Издание книжного магазина Г. Пихлакас	издание книжного магазина г.пихлакас
Издание книжного магазина Г. Пихлакаса	издание книжного магазина г.пихлакаса
Издание Московского объединения театрально-зрелищн	издание московского объединения театральнозрелищны
Издание Нарвской Успенской церкви	издание нарвской успенской церкви
Издание насл. А. Г. Григорьева	издание насл.а.г.григорьева
Издание наследников Андрея Розена	издание наследников андрея розена
"Издание Оргкомитета ""Олимпиада-80"""	издание оргкомитета олимпиада80
Издание Отделения русского языка и словесности Имп	издание отделения русского языка и словесности имп
Издание политического управления флота	издание политического управления флота
издание Приходского Совета Юрьевского Успенского С	издание приходского совета юрьевского успенского с
Издание Сельско-Хозяйственной Палаты	издание сельскохозяйственной палаты
Издание Управления внутренних водных путей и шоссе	издание управления внутренних водных путей и шоссе
Издание Христианского Поборника	издание христианского поборника
Издание ЦК Коммунистической партии Эстляндии	издание цк коммунистической партии эстляндии
Издано Нарвским Обществом древностей им. Генриха Г	издано нарвским обществом древностей им.генриха га
Издателство Академий Архитектуры СССР	издателство академий архитектуры ссср
Издатель Sergei Verevkin RGO	издатель sergei verevkin rgo
"Издательсво ""КПД"""	издательсво кпд
Издательские решения	издательские решения
"Издательский дом ""Коло"""	издательский дом коло
"Издательский дом ""Ото"""	издательский дом ото
"Издательский дом [""Ото""]"	издательский дом ото
Издательский дом SKP Media	издательский дом skp media
Издательский дом Ото	издательский дом ото
Издательский Дом ЯСК	издательский дом яск
Издательский отдел ЭПЦ МП	издательский отдел эпц мп
Издательский отдел Эстонской Православной Церкви М	издательский отдел эстонской православной церкви м
Издательский Совет Русской Православной Церкви	издательский совет русской православной церкви
Издательский совет Эстонской Православной Церкви М	издательский совет эстонской православной церкви м
"Издательство ""КПД"""	издательство кпд
"Издательство ""Любовь Лурье"""	издательство любовь лурье
"Издательство ""Нестор-История"" СПбИИ РАН"	издательство нестористория спбии ран
Издательство Aleksandra	издательство aleksandra
Издательство KAVA	издательство kava
Издательство TEA	издательство tea
Издательство Агенства печати Новости	издательство агенства печати новости
Издательство Академии архитектуры СССР	издательство академии архитектуры ссср
Издательство академии наук	издательство академии наук
Издательство Академии наук Латвийской ССР	издательство академии наук латвийской сср
Издательство Академии наук СССР	издательство академии наук ссср
Издательство Академии художеств СССР	издательство академии художеств ссср
Издательство Академий наук Латвийской ССР	издательство академий наук латвийской сср
Издательство АН Латвийской ССР	издательство ан латвийской сср
Издательство АН СССР	издательство ан ссср
Издательство АПЛИС	издательство аплис
Издательство Болгарской АН	издательство болгарской ан
Издательство Верещагина	издательство верещагина
Издательство Воронежского государственного универс	издательство воронежского государственного универс
Издательство ВПШ и АОН	издательство впш и аон
Издательство Государственного Эрмитажа	издательство государственного эрмитажа
Издательство Гродненского государственного универс	издательство гродненского государственного универс
Издательство ДОСААФ СССР	издательство досааф ссср
"Издательство журнала ""Звезда"""	издательство журнала звезда
Издательство имени Н. И. Новикова	издательство имени н.и.новикова
Издательство иностранной литературы	издательство иностранной литературы
Издательство Института Пушкина	издательство института пушкина
Издательство КПД	издательство кпд
Издательство Красноярского университета	издательство красноярского университета
Издательство КРД	издательство крд
Издательство ЛГУ	издательство лгу
Издательство Ленинградского университета	издательство ленинградского университета
Издательство МАИ	издательство маи
Издательство МГУ	издательство мгу
Издательство Министерства коммунального хозяйства 	издательство министерства коммунального хозяйства 
Издательство Министерства сельского хозяйства СССР	издательство министерства сельского хозяйства ссср
Издательство Министерства совхозов СССР	издательство министерства совхозов ссср
Издательство Московского университета	издательство московского университета
Издательство Московской Патриархии	издательство московской патриархии
Издательство Московской патриархии	издательство московской патриархии
Издательство на Българския земеделски народен съюз	издательство на българския земеделски народен съюз
Издательство Православного Свято-Тихоновского Гума	издательство православного святотихоновского гуман
Издательство Православной Церкви Эстонии	издательство православной церкви эстонии
Издательство РГГУ	издательство рггу
Издательство СДПЭ	издательство сдпэ
Издательство стандартов	издательство стандартов
Издательство Таллиннского педагогического универси	издательство таллиннского педагогического универси
Издательство Таллиннского технического университет	издательство таллиннского технического университет
Издательство [Таллиннского университета]	издательство таллиннского университета
Издательство Таллиннского университета	издательство таллиннского университета
Издательство Таллинского политехнического институт	издательство таллинского политехнического институт
Издательство Тартусково университета	издательство тартусково университета
Издательство Тартуского университета	издательство тартуского университета
Издательство ТЛУ	издательство тлу
Издательство ФАН	издательство фан
Издательство Центросоюза	издательство центросоюза
Издательство ЦК КП Эстонии	издательство цк кп эстонии
Издательство ЦК МОПР СССР	издательство цк мопр ссср
Издательство ЭАПЦ	издательство эапц
Издательство экономической литературы «Из первых р	издательство экономической литературы «из первых р
[Издательство экономической литературы на русском 	издательство экономической литературы на русском я
Издательство экономической литературы на русском я	издательство экономической литературы на русском я
Издательство Эстонской академии музыки и театра	издательство эстонской академии музыки и театра
Издательство Эстонской энциклопедии	издательство эстонской энциклопедии
Изд-во на ЦС на ОНИС	издво на цс на онис
Изд-во Юрьевского филиала Кружка им. К. Ф. Жакова 	издво юрьевского филиала кружка им.к.ф.жакова лими
Изобразительное искусство	изобразительное искусство
Иллен	иллен
Иллукаское волостное управление	иллукаское волостное управление
ИЛО	ило
Ило	ило
Имакон	имакон
Имп. Вольное экономическое общество	имп.вольное экономическое общество
Императорское Московское Общество Испытателей Прир	императорское московское общество испытателей прир
Инвожо	инвожо
Ингерманландии	ингерманландии
Ингерманландия	ингерманландия
Ингри	ингри
Инженерно-геологическая комиссия Госстроя Эстонско	инженерногеологическая комиссия госстроя эстонской
Инкери	инкери
"""ИНРЕКО"""	инреко
Инспекция безопасности мореплавания и портового на	инспекция безопасности мореплавания и портового на
Инспекция охраны здоровья	инспекция охраны здоровья
Инспекция по делам охоты Главного управления лесно	инспекция по делам охоты главного управления лесно
Инспекция сельскохозяйственной техники	инспекция сельскохозяйственной техники
Инспекция труда	инспекция труда
"Институт ""Технопроект"""	институт технопроект
Институт Академии художеств	институт академии художеств
Институт акушерства и гинекологии АМН СССР	институт акушерства и гинекологии амн ссср
Институт архелогии	институт архелогии
Институт археологии	институт археологии
Институт археологии Академии наук СССР	институт археологии академии наук ссср
Институт астрофизики и физики атмосферы	институт астрофизики и физики атмосферы
Институт астрофизики и физики атмосферы Академии н	институт астрофизики и физики атмосферы академии н
Институт Балтийских исследований	институт балтийских исследований
Институт биологии развития	институт биологии развития
Институт биоорганической химии	институт биоорганической химии
Институт биоорганической химии им. М. М. Шемякина 	институт биоорганической химии им.м.м.шемякина ака
Институт ботаники	институт ботаники
Институт виросологии	институт виросологии
Институт вирусологии	институт вирусологии
Институт вирусологии им. Д. И. Ивановского	институт вирусологии им.д.и.ивановского
Институт востоковедения	институт востоковедения
Институт всеобщей истории Академии наук СССР	институт всеобщей истории академии наук ссср
Институт генетики	институт генетики
Институт генетики и цитологии	институт генетики и цитологии
Институт геологии	институт геологии
Институт геологии Академии наук Эстонской ССР	институт геологии академии наук эстонской сср
Институт геологии АН Эстонии	институт геологии ан эстонии
Институт геологии и геофизики	институт геологии и геофизики
Институт геологии ТТУ	институт геологии тту
Институт геохимии и аналитической химии	институт геохимии и аналитической химии
Институт гигиены труда и профессиональных заболева	институт гигиены труда и профессиональных заболева
Институт горного дела	институт горного дела
Институт горного дела им. А. А. Скочинского	институт горного дела им.а.а.скочинского
Институт горючих ископаемых	институт горючих ископаемых
Институт государства и права	институт государства и права
Институт государства и права АН СССР	институт государства и права ан ссср
Институт государственного права	институт государственного права
Институт живописи, скульптуры и архитектуры	институт живописи скульптуры и архитектуры
Институт живописи, скульптуры и архитектуры им. И.	институт живописи скульптуры и архитектуры им.и.е.
Институт животноводства и ветеринарии Академии нау	институт животноводства и ветеринарии академии нау
Институт зкономики Академии Наук Латвийской ССР	институт зкономики академии наук латвийской сср
Институт зоологии и ботаники	институт зоологии и ботаники
Институт зоологии и ботаники Академии наук ЭССР	институт зоологии и ботаники академии наук эсср
Институт зоологии и ботаники Академии наук Эстонск	институт зоологии и ботаники академии наук эстонск
Институт зоологии и ботаники АН Эстонской ССР	институт зоологии и ботаники ан эстонской сср
Институт зоолоогии и ботаники	институт зоолоогии и ботаники
Институт информатики и вычислительной техники	институт информатики и вычислительной техники
Институт истории	институт истории
Институт истории Академии наук СССР	институт истории академии наук ссср
Институт истории Академии наук ЭССР	институт истории академии наук эсср
Институт истории Академии наук Эстонской ССР	институт истории академии наук эстонской сср
Институт истории АН ЭССР	институт истории ан эсср
Институт истории Литовской ССР	институт истории литовской сср
Институт истории партии	институт истории партии
Институт истории партии при Центрального Комитета 	институт истории партии при центрального комитета 
Институт истории партии при Центральном комитете К	институт истории партии при центральном комитете к
Институт истории партии при ЦК КП	институт истории партии при цк кп
Институт истории партии при ЦК КП Эстони	институт истории партии при цк кп эстони
Институт истории партии при ЦК КП Эстонии	институт истории партии при цк кп эстонии
Институт истории партии при ЦК КПЭ	институт истории партии при цк кпэ
Институт истории партии при ЦК Эстонии	институт истории партии при цк эстонии
Институт истории партии ЦК КП Эстонии	институт истории партии цк кп эстонии
Институт истории партии ЭССР	институт истории партии эсср
Институт истории партии Эстонии	институт истории партии эстонии
Институт истории при ЦК КП Эстонии	институт истории при цк кп эстонии
Институт истории СССР	институт истории ссср
Институт кардиологии	институт кардиологии
Институт Кибернетики	институт кибернетики
Институт кибернетики	институт кибернетики
Институт кибернетики Академии наук ЭССР	институт кибернетики академии наук эсср
Институт кибернетики Академии наук Эстонии	институт кибернетики академии наук эстонии
Институт кибернетики Академии наук Эстонской ССР	институт кибернетики академии наук эстонской сср
Институт кибернетики АН Эстонской ССР	институт кибернетики ан эстонской сср
Институт комплексных проблем при Госплане СССР	институт комплексных проблем при госплане ссср
Институт комплексных транспортных проблем при Госп	институт комплексных транспортных проблем при госп
Институт космических исследований	институт космических исследований
Институт Латинской Америки	институт латинской америки
Институт марксизма-ленинизма	институт марксизмаленинизма
Институт марксизма-ленинизма при ЦК КПСС	институт марксизмаленинизма при цк кпсс
Институт математики	институт математики
Институт математики МССР	институт математики мсср
Институт международных и социальных исследований Т	институт международных и социальных исследований т
Институт мировой литературы	институт мировой литературы
Институт мировой экономики и международных отношен	институт мировой экономики и международных отношен
Институт молекулярной биологии	институт молекулярной биологии
Институт молекулярной биологии АН СССР	институт молекулярной биологии ан ссср
Институт научной информации по общественным наукам	институт научной информации по общественным наукам
Институт научно-технической информации и пропаганд	институт научнотехнической информации и пропаганды
Институт нефтехимического синтеза	институт нефтехимического синтеза
Институт общей и неорганической химии	институт общей и неорганической химии
Институт общей патологии и патологических физиолог	институт общей патологии и патологических физиолог
Институт океанологии	институт океанологии
Институт организации, механизации и технической по	институт организации механизации и технической пом
Институт открытого общества Эстонии	институт открытого общества эстонии
Институт питания Академии медицинских наук СССР	институт питания академии медицинских наук ссср
Институт по изучению причин и разработке мер преду	институт по изучению причин и разработке мер преду
Институт полупроводников	институт полупроводников
Институт почвоведения и агрохимии	институт почвоведения и агрохимии
Институт проблем материаловедения	институт проблем материаловедения
Институт проблем управления	институт проблем управления
Институт психологии	институт психологии
Институт Развития Здоровья	институт развития здоровья
Институт развития здоровья	институт развития здоровья
Институт развития здоровья [levitaja]	институт развития здоровья levitaja
Институт российской истории	институт российской истории
Институт русского языка	институт русского языка
Институт русского языка им. А. С. Пушкина	институт русского языка им.а.с.пушкина
Институт русской литературы	институт русской литературы
Институт санитарного просвещения	институт санитарного просвещения
Институт семейного воспитания	институт семейного воспитания
Институт социологических исследований	институт социологических исследований
Институт строительной физики и ограждающих констру	институт строительной физики и ограждающих констру
Институт термофизики и электрофизики Академии наук	институт термофизики и электрофизики академии наук
Институт технической кибернетики	институт технической кибернетики
Институт усовершенствования учителей ЭССР	институт усовершенствования учителей эсср
Институт устойчивого развития Эстонии	институт устойчивого развития эстонии
Институт физики	институт физики
Институт физики Академии наук Эстонской ССР	институт физики академии наук эстонской сср
Институт физики АН ЭССР	институт физики ан эсср
Институт физики Земли им. О. Ю. Шмидта	институт физики земли им.о.ю.шмидта
Институт физики и астрономии	институт физики и астрономии
Институт физики и астрономии Академии наук ЭССР	институт физики и астрономии академии наук эсср
Институт физики и астрономии Академии наук Эстонск	институт физики и астрономии академии наук эстонск
Институт физико-органической химии и углехимии	институт физикоорганической химии и углехимии
Институт физико-технических проблем энергетики	институт физикотехнических проблем энергетики
Институт физиологии растений им. К. А. Тимирязева	институт физиологии растений им.к.а.тимирязева
Институт физической культуры	институт физической культуры
Институт физической культуры им. П. Ф. Лесгафта	институт физической культуры им.п.ф.лесгафта
Институт физической химии	институт физической химии
Институт философии	институт философии
Институт философии АН СССР	институт философии ан ссср
Институт философии и права	институт философии и права
Институт химии	институт химии
Институт химии Академии наук ЭССР	институт химии академии наук эсср
Институт химии Академии наук Эстонии	институт химии академии наук эстонии
Институт химии Академии наук Эстонской ССР	институт химии академии наук эстонской сср
Институт химии АН ЭССР	институт химии ан эсср
Институт химической и биологической физики	институт химической и биологической физики
Институт химической физики	институт химической физики
Институт хирургии Академии медицинских наук СССР	институт хирургии академии медицинских наук ссср
Институт цитологии Академий наук СССР	институт цитологии академий наук ссср
Институт эволюционной морфологии и экологии животн	институт эволюционной морфологии и экологии животн
Институт экомомики	институт экомомики
Институт экономики	институт экономики
Институт экономики Академии наук ЭССР	институт экономики академии наук эсср
Институт экономики Академии наук Эстонской ССР	институт экономики академии наук эстонской сср
Институт экономики АН ЭССР	институт экономики ан эсср
Институт экономики и управления	институт экономики и управления
Институт экономики и управления Ecomen	институт экономики и управления ecomen
Институт экономики и управления ЭКОМЕН	институт экономики и управления экомен
Институт экспериментальной  и клинической медицины	институт экспериментальной  и клинической медицины
Институт экспериментальной биологии	институт экспериментальной биологии
Институт экспериментальной биологии АН ЭССР	институт экспериментальной биологии ан эсср
Институт экспериментальной биологии Эстонской ССР	институт экспериментальной биологии эстонской сср
Институт экспериментальной и клинической медицины	институт экспериментальной и клинической медицины
Институт экспериментальной и клинической медицины 	институт экспериментальной и клинической медицины 
Институт электромеханики АН СССР	институт электромеханики ан ссср
Институт электроники и вычислительной техники	институт электроники и вычислительной техники
Институт электронных управляющих машин	институт электронных управляющих машин
Институт электрохимии	институт электрохимии
Институт этнографии	институт этнографии
Институт этнологии и антропологи	институт этнологии и антропологи
Институт этнологии и антропологии им. Н. Н. Миклух	институт этнологии и антропологии им.н.н.миклухома
Институт этнологии и антропологии имени Н. Н. Микл	институт этнологии и антропологии имени н.н.миклух
Институт Яана Тыниссона	институт яана тыниссона
Институт ядерной физики	институт ядерной физики
Институт языка и литературы	институт языка и литературы
Институт языка и литературы АН ЭССР	институт языка и литературы ан эсср
Института истории материальной культуры	института истории материальной культуры
Института истории партии	института истории партии
Института марксизма-ленинизма	института марксизмаленинизма
Ин-т эксперим. и клинич. медицины	инт эксперим.и клинич.медицины
Интеллект	интеллект
Интервук	интервук
Интерпракс	интерпракс
ИНТИиП	интиип
ИНТИиП при СМ ЭССР	интиип при см эсср
ИНТИиП при СМ Эстонской ССР	интиип при см эстонской сср
ИНТИП	интип
"""ИНТО"", малое предприятие"	инто малое предприятие
"Информационное агентство ""Бизнес-БД"""	информационное агентство бизнесбд
Информационный центр Агропромышленного комитета Эс	информационный центр агропромышленного комитета эс
Информационный центр агропромышленного комитета Эс	информационный центр агропромышленного комитета эс
Информационный центр Госагропрома ЭССР	информационный центр госагропрома эсср
Информационный центр Госагропрома Эстонской ССР	информационный центр госагропрома эстонской сср
Информационный центр Государственного агропромкома	информационный центр государственного агропромкома
Информационный центр Государственного агропромышле	информационный центр государственного агропромышле
Информационный центр Министерства сельского хозяйс	информационный центр министерства сельского хозяйс
Информационный центр по вопросам Европейского Союз	информационный центр по вопросам европейского союз
Информационный центр сельского хозяйства Эстонии	информационный центр сельского хозяйства эстонии
Информэлектро	информэлектро
Инфотрюкк	инфотрюкк
Инфоцентр здоровья Эстонии	инфоцентр здоровья эстонии
Инфра	инфра
Ионк и Полиевский	ионк и полиевский
Ирина Хрулева	ирина хрулева
"""Ирфон"""	ирфон
Ирфон	ирфон
Ирыстон	ирыстон
Искра революции	искра революции
Искуcство	искуcство
"""Искусство"""	искусство
Искусство	искусство
Искусство - СПБ	искусство  спб
Искусство России	искусство россии
Искусство Эстонской ССР	искусство эстонской сср
Искусство-СПБ	искусствоспб
Искусство-СПб	искусствоспб
Искуство	искуство
Ислусство-СПБ	ислусствоспб
Исполком комитета СДТ города Таллина	исполком комитета сдт города таллина
Исполком Морского района Совета народных депутатов	исполком морского района совета народных депутатов
Исполком СДТ г. Таллина	исполком сдт г.таллина
Исполком СНД Октябрьского района города Таллинна	исполком снд октябрьского района города таллинна
Исполком Совета депутатов трудящихсгорода Нарва	исполком совета депутатов трудящихсгорода нарва
Исполком Совета народных депутатов Морского района	исполком совета народных депутатов морского района
Исполком Совета народных депутатов Октябрского рай	исполком совета народных депутатов октябрского рай
Исполком Совета народных депутатов Харьюского райо	исполком совета народных депутатов харьюского райо
Исполком Советов Депутатов Трудящихся Калининского	исполком советов депутатов трудящихся калининского
Исполком Таллиннского СНД	исполком таллиннского снд
Исполком Таллинского гор. СДТ	исполком таллинского гор.сдт
Исполком Таллинского городского СНД	исполком таллинского городского снд
Исполком Таллинского городского Совета Народных Де	исполком таллинского городского совета народных де
Исполком Таллинского городского Совета народных де	исполком таллинского городского совета народных де
Исполнительный комитет Нарвского совета рабочих и 	исполнительный комитет нарвского совета рабочих и 
Исполнительный Комитет СДТ г. Таллина	исполнительный комитет сдт г.таллина
Исполнительный комитет СДТ г. Тарту	исполнительный комитет сдт г.тарту
Исполнительный комитет СДТ города Таллина	исполнительный комитет сдт города таллина
Исполнительный комитет Совета депутатов трудящихся	исполнительный комитет совета депутатов трудящихся
Исполнительный комитет совета солдатских, рабочих 	исполнительный комитет совета солдатских рабочих и
