id	gender
a12421601	male
a1246482x	male
a12264258	male
a12120431	female
a11836271	NA
a11254956	NA
a11941844	male
a11834973	female
a12325764	male
a12541795	male
a11256011	NA
a12097883	female
a1126066x	NA
a12260757	female
a12132032	female
a12096337	male
a12126287	male
a12458843	male
a12319430	male
a1225986x	male
a12262936	male
a12535801	male
a12104875	NA
a12104541	NA
a11948309	NA
a1158788x	male
a12128028	female
a11264470	NA
a11373581	male
a12420359	female
a12264210	male
a12107700	NA
a11590038	male
a12262055	female
a12458867	male
a11365729	NA
a12456822	female
a12126263	male
a12421625	NA
a12266851	male
a11945345	NA
a1136189x	NA
a11579456	male
a11364063	NA
a11945369	NA
a11581396	NA
a12125040	NA
a11831443	male
a12262031	female
a11819881	NA
a12105636	NA
a11945126	NA
a11362960	NA
a12430857	male
a12262079	male
a12265780	NA
a12105612	female
a11833774	female
a12098620	male
a12322386	NA
a1226216x	NA
a11939928	NA
a12427457	male
a12264234	male
a11365705	NA
a12322362	female
a11828730	NA
a12535187	male
a12426453	male
a12536805	male
a12260290	male
a11520632	male
a11833993	male
a12269529	female
a12543950	female
a12259408	NA
a12098644	NA
a12585245	male
a12125088	NA
a12103871	male
a12464296	male
a12318255	male
a12099648	NA
a11829734	NA
a11364087	NA
a11257039	male
a12420621	male
a11252558	male
a12121216	NA
a11588950	NA
a12126949	male
a11828754	NA
a11579766	female
a12324541	NA
a1225955x	male
a11942605	NA
a11362984	NA
a1226815x	male
a12132718	female
a1245431x	female
a12263278	male
a11836519	NA
a11947305	female
a12425692	female
a11583794	NA
a12321382	male
a12266875	female
a11363988	NA
a12127267	female
a11832770	NA
a12326549	male
a12266899	female
a11578476	NA
a12327529	male
a11588093	male
a11376302	NA
a12421649	male
a12430833	female
a12535849	male
a12261956	female
a12696882	NA
a11313250	NA
a11186306	female
a12563560	male
a12636319	male
a12584988	female
a12047879	male
a11140033	male
a11588974	NA
a11514127	NA
a1119473x	male
a11158864	NA
a12328765	female
a12694770	female
a11261092	NA
a12634578	female
a12045676	NA
a11897351	NA
a11187505	NA
a12642605	female
a12068342	NA
a12559556	female
a11542093	NA
a11334964	NA
a11157860	female
a1232338x	female
a12099600	male
a12043692	NA
a12045652	NA
a11445701	male
a11264494	male
a11136133	male
a12695798	NA
a12048811	NA
a11251116	NA
a12325892	male
a12098668	male
a11584993	male
a11588998	NA
a12697862	male
a12099624	male
a11191405	NA
a12690569	male
a12071456	NA
a11514103	NA
a11157884	female
a12564345	NA
a12065663	male
a11543978	NA
a12044982	female
a11591237	male
a11264299	male
a1113494x	male
a12210067	male
a11912704	NA
a12104851	NA
a11910720	NA
a11513123	NA
a11194042	NA
a1150108x	female
a1269096x	NA
a1264173x	male
a11450071	male
a11422488	NA
a1263444x	female
a12564369	male
a12066187	NA
a12068366	NA
a12102581	female
a1206435x	male
a11543097	NA
a12398354	female
a12697886	male
a12325326	female
