rara_id	birth_date	death_date
a1151839x	NA	1914
a12472608	2000	NA
a11510675	1934	2022
a12475051	1950	NA
a12289371	1950	NA
a12811841	2001	NA
a11381127	NA	2013
a1247194x	1950	NA
a11449196	1700	NA
a11501996	NA	1100
a12815871	1950	NA
a11441471	1700	NA
a12284701	NA	2025
a12289346	1950	NA
a1246479x	2000	NA
a11511977	1920	2012
a1280910x	1950	NA
a12810356	1920	NA
a12455659	1961	NA
a11444721	1056	NA
a11440120	1700	NA
a12808921	1950	NA
a12293842	1989	NA
a12291663	NA	2023
a12457838	NA	1970
a11501935	800	810
a12813059	1936	2019
a12290567	1982	NA
a11509685	NA	2011
a1144809x	1645	NA
a12463620	2000	NA
a12291481	1929	NA
a12814374	NA	2000
a11501959	NA	2002
a11444745	1600	NA
a12463644	2000	NA
a12658649	NA	1942
a11446924	1700	NA
a11519484	NA	1980
a12814143	1952	NA
a12291006	1950	NA
a11389448	NA	2021
a12286072	1981	NA
a11444988	1700	NA
a12463851	2000	NA
a11443893	1059	1160
a11975337	NA	2008
a12031707	1976	NA
a12647445	1900	NA
a11967742	1948	NA
a12029816	1551	NA
a12492012	NA	1655
a12150241	NA	372
a12149883	2000	NA
a1249575x	1950	NA
a11874016	NA	2026
a12493363	2000	NA
a12495785	1942	NA
a11216025	1220	NA
a12492280	1950	NA
a1249088x	1965	NA
a12491512	NA	2023
a12501293	1950	NA
a11217315	NA	2011
a12037382	NA	2015
a11219506	1743	NA
a11970662	1950	NA
a11972609	1950	NA
a12491536	1968	NA
a12499262	1947	NA
a12501281	2000	NA
a12648711	1850	1851
a11860352	NA	2018
a12376358	1950	NA
a11344854	NA	2019
a1134264x	-200	NA
a11339251	538	NA
a12269281	1950	NA
a11912686	1950	NA
a11343746	500	NA
a12259494	1950	NA
a11900234	NA	2020
a12371567	NA	2024
a12263503	1948	NA
a11909274	1860	NA
a12373515	1982	NA
a12269220	1950	NA
a12242871	1859	1908
a12374003	1968	NA
a12270684	1952	NA
a1223834x	NA	2025
a11352413	NA	2024
a12820684	1950	NA
a11442980	1600	NA
a11449135	1647	NA
a12704398	NA	2017
a12561460	2000	NA
a12563481	1950	NA
a12742314	1950	NA
a11442530	1700	NA
a11450150	300	251
a12817028	1950	NA
a1227625x	1983	NA
a12561058	1950	NA
a12282984	1950	NA
a12746952	1992	NA
a12322726	1950	NA
a11296823	NA	1662
a12565647	1640	NA
a11300395	NA	2022
a1143143x	NA	2009
a12561046	2000	NA
a12703291	1950	NA
a12743422	1900	NA
a12699123	1950	NA
a12275955	1950	NA
a11439397	1600	NA
a12316507	1992	NA
a1231478x	1950	NA
a12785027	1950	NA
a12742132	2000	NA
a12282224	1950	NA
a1281944x	1900	NA
a12564539	1900	NA
a12823727	1950	NA
a12565866	1561	NA
a12822498	NA	2009
a12705214	1992	NA
a12703035	1935	NA
a1282138x	1900	NA
a12744542	1943	NA
a12786585	1950	NA
a12564928	1946	NA
a12819098	1978	NA
a12747956	2000	NA
a12561897	2000	NA
a12561411	2000	NA
a12557171	2000	NA
a12560340	1900	NA
a12316775	NA	1942
a1278896x	1619	1672
a11436141	1600	NA
a1255716x	1981	NA
a12114005	1950	NA
a12518001	1950	NA
a12518487	1900	NA
a11136649	NA	2026
a1239340x	1929	NA
a11137964	-496	NA
a12394993	1950	NA
a12521620	1950	NA
a12392571	2000	NA
a1252279x	757	817
a12521863	1950	NA
a11927550	1950	NA
a12113633	NA	2024
a12518219	1563	NA
a1239693x	1948	2015
a11938468	1950	NA
a12521413	1950	NA
a12521899	1970	NA
a12518293	2000	NA
a11935145	400	NA
a1251603x	19	NA
a1123944x	NA	2022
a11242656	400	NA
a12521401	2000	NA
a12393629	1950	NA
a12522302	1956	NA
a11249225	1665	NA
a12392534	1950	NA
a12521711	1950	NA
a11929728	1943	NA
a1251830x	1974	NA
a12394506	1950	NA
a11248786	1447	NA
a12520354	NA	1985
a1252086x	1950	NA
a12539703	1995	NA
a11557928	1934	2020
a12197920	1950	NA
a12534298	2000	NA
a12191140	NA	2023
a12669040	NA	2025
a1253643x	1950	NA
a12675945	1965	NA
a12670017	2000	NA
a12674850	1950	NA
a11551124	1922	2009
a11558829	NA	2023
a12670248	1958	NA
a12536519	1950	NA
a12536234	1980	NA
a12536763	1961	NA
a12191188	NA	2021
a12201832	2000	NA
a12539806	2000	NA
a12534377	1950	NA
a12343456	1701	NA
a12219897	1934	2018
a12188736	1945	NA
a12714926	1950	NA
a11464276	1800	NA
a12549824	2000	NA
a12056674	1950	NA
a12729280	2000	NA
a12059705	NA	2021
a1221548x	2000	NA
a11274153	NA	2021
a11477118	NA	1981
a12351234	1950	NA
a12345416	NA	2026
a11478457	1800	NA
a12710167	1900	NA
a12715645	1950	NA
a12183957	1360	NA
a12711020	1900	NA
a12219605	1950	NA
a1195808x	NA	2023
a12043254	1844	NA
a1271477x	NA	1906
a12419242	2000	NA
a11270858	NA	2022
a12418158	1730	NA
a12716443	1950	NA
a12181316	NA	2021
a12417063	NA	2024
a12189042	NA	2021
a12716510	1860	1920
a12084931	NA	1966
a12188177	1950	NA
a12344588	1967	NA
a12709967	1950	NA
a12716431	1857	1921
a12346767	2000	NA
a1234347x	1950	NA
a1221761x	1950	NA
a12409443	1950	NA
a11464094	NA	1895
a1208296x	NA	2021
a12334881	1993	NA
a12173782	1950	NA
a12170033	1950	NA
a12432933	1964	NA
a11803770	NA	2025
a12170288	1900	NA
a11813337	1100	NA
a12173770	NA	2022
a12433172	1950	NA
a11813581	NA	1937
a12438856	1950	NA
a12438613	NA	2025
a1217242x	NA	2021
a11801785	NA	1941
a12433391	1555	1625
a12104164	NA	1953
a12102842	NA	2022
a12541540	1950	NA
a11126255	1660	NA
a12374994	NA	2004
a12084797	2000	NA
a12369159	1975	NA
a12373436	1950	NA
a11249997	50	NA
a12364708	1950	NA
a12097858	1787	NA
a12370149	1950	NA
a11128410	NA	1962
a12364939	1965	NA
a1236910x	2000	NA
a12557249	1950	NA
a12564849	2000	NA
a11582388	NA	1955
a11588615	NA	2020
a11588858	NA	2023
a12088286	NA	1710
a12555174	978	NA
a11589942	1938	NA
a12091200	1119	NA
a12553177	1986	NA
a12766938	1977	NA
a12725365	1977	NA
a1276582x	2009	NA
a12547980	1950	NA
a12765855	1984	NA
a11582054	1510	NA
a12765867	1971	NA
a11583162	1100	NA
a12773499	1770	NA
a11588895	1497	NA
a11770120	NA	2022
a12551466	1962	NA
a11588664	1931	2025
a12728548	1950	NA
a11590956	1446	NA
a11829047	1950	NA
a12631632	2000	NA
a11822223	NA	2017
a12002707	2000	NA
a12626491	1981	NA
a12010339	NA	2021
a12625577	1950	NA
a12632508	1945	NA
a12631887	1950	NA
a12629546	1950	NA
a12008230	NA	2003
a11831789	NA	2021
a1262407x	1998	NA
a12627100	NA	2025
a1262973x	1950	NA
a12625176	1983	NA
a11428739	-100	NA
a11440181	1700	NA
a12130424	1950	NA
a12460151	2000	NA
a11442359	1750	1751
a12462111	2000	NA
a11437467	NA	1950
a11435094	100	151
a11986128	NA	2024
a12460746	1950	NA
a11444770	1600	NA
a12461246	1951	NA
a11444526	1250	1251
a12578691	1965	NA
a12130485	1950	2000
a12586250	NA	1277
a11446948	1700	NA
a12587564	1900	NA
a12457760	NA	2024
a11979628	2000	NA
a11438149	1500	NA
a11444551	10	75
a11435951	1600	NA
a12579300	1950	NA
a11440193	1800	NA
a11979872	NA	2016
a11426354	1937	2019
a1245882x	1660	NA
a11443698	1682	NA
a12455337	1200	1237
a12578678	1950	NA
a11431155	1940	NA
a12455349	NA	2024
a11443005	1750	1751
a11446997	1700	NA
a1144891x	1700	NA
a11442396	1700	NA
a11444332	1700	NA
a1116346x	NA	2026
a11433152	1800	NA
a11439075	1800	NA
a12461192	1950	NA
a12457310	1963	NA
a11385108	NA	2021
a11432470	1950	NA
a11978971	1968	NA
a12457607	629	700
a12034915	1950	NA
a1197364x	1900	NA
a11972336	NA	2020
a12457826	1950	NA
a12540420	1950	NA
a11972543	1975	NA
a12032980	1950	NA
a11971277	NA	2019
a1122311x	NA	2022
a12457188	2000	NA
a12459148	1950	NA
a11511990	1907	1968
a12807667	1950	NA
a12742259	1962	NA
a12806547	NA	1960
a12289152	1900	NA
a12744438	NA	2018
